feature,importance
C14,104
C1,86
V279,82
TransactionAmt,78
C13,61
V294,58
C11,57
card2,56
V280,49
TransactionDT,48
V282,44
V95,43
C6,42
C2,42
P_emaildomain,42
card1_card2,41
card1,40
C12,40
card6_credit,36
V285,34
V281,34
Transaction_day,33
TransactionAmt_log,32
V45,31
V283,30
card5,30
V97,30
card3,29
R_emaildomain,28
addr1,27
V258,26
P_email_suffix_missing,25
D4,25
id_01,24
V53,23
D1,22
M5_T,22
V90,21
V12,21
dist1,21
Transaction_hour,21
V75,21
DeviceInfo,21
id_20,21
TransactionAmt_is_round,21
V87,21
D15,20
DeviceType_mobile,20
addr1_addr2,20
card6_debit,19
D3,19
V48,19
V29,19
id_31,18
V293,17
TransactionAmt_decimal,17
V69,17
V201,16
V288,16
D2,16
V19,15
C10,15
D10,15
card4_visa,15
ProductCD_H,15
card4_mastercard,15
V83,15
card4_discover,15
V62,14
C4,14
V310,14
id_05,13
V295,13
V36,12
V286,12
V67,12
ProductCD_R,12
V291,11
V296,11
V96,11
email_match,11
id_06,11
C9,11
C8,11
V99,10
V187,10
V287,10
V54,10
V35,10
id_02,10
V49,10
D11,10
id_15_New,10
V312,10
V82,10
V170,10
V102,9
V131,9
V314,9
is_night,9
V189,9
V76,9
M1_Unknown,8
V124,8
V101,8
ProductCD_S,8
V78,8
id_19,8
V105,8
V74,8
V222,7
id_12_NotFound,7
V243,7
V225,6
V320,6
M1_T,6
DeviceType_desktop,6
D5,6
M5_Unknown,6
V70,6
V172,6
V98,6
V265,6
V34,6
M4_M1,6
V57,6
V317,5
V223,5
V178,5
V298,5
V313,5
V20,5
C5,5
V316,5
V308,5
V103,5
id_15_Unknown,5
V257,5
V171,5
V200,5
V13,5
C3,5
V307,5
V233,4
V199,4
V174,4
id_11,4
V203,4
V248,4
V224,4
id_17,4
V267,4
M4_M2,4
V38,4
V315,4
V127,4
V301,4
V91,4
V94,4
V256,3
V66,3
V244,3
V64,3
V232,3
V10,3
id_28_New,3
V219,3
V218,3
V227,3
M4_Unknown,3
V128,3
V302,3
V167,3
V309,3
V86,3
V289,3
V306,3
V130,3
R_email_suffix_missing,3
V55,3
V24,3
V37,3
V261,3
id_16_NotFound,2
M6_T,2
M7_T,2
M8_Unknown,2
V2,2
V47,2
V136,2
V84,2
V56,2
V104,2
V61,2
P_email_suffix_net,2
V4,2
C7,2
M2_Unknown,2
V106,2
V188,2
V246,2
V195,2
V194,2
V231,2
V30,2
V271,2
V235,2
V221,2
V17,2
V277,2
V100,2
Transaction_day_of_week,2
V217,2
ProductCD_W,2
V209,2
V300,2
V112,2
V126,2
id_35_T,2
M9_T,2
V134,2
id_12_Unknown,2
V133,2
V292,2
V198,1
V213,1
V177,1
V193,1
V220,1
V226,1
V229,1
V230,1
V191,1
V72,1
V190,1
V186,1
V239,1
V245,1
V211,1
V249,1
V59,1
V251,1
V58,1
V253,1
V52,1
V259,1
V260,1
V262,1
V263,1
V311,1
id_13,1
V180,1
V179,1
V175,1
V247,1
V123,1
V5,1
V7,1
M3_Unknown,1
M2_T,1
V115,1
M6_Unknown,1
V132,1
V135,1
V46,1
V44,1
V42,1
V169,1
V80,1
V202,1
V108,1
V208,1
V85,1
M7_Unknown,1
V93,1
V122,0
V107,0
V109,0
V125,0
V92,0
V305,0
V129,0
V89,0
V110,0
V88,0
V137,0
V81,0
V304,0
V303,0
V111,0
V168,0
V120,0
V26,0
V27,0
V28,0
V31,0
V32,0
V33,0
V39,0
V40,0
V121,0
V43,0
is_weekend,0
card4_american express,0
V6,0
card6_debit or credit,0
M3_T,0
P_email_suffix_other,0
addr2,0
R_email_suffix_net,0
V41,0
V318,0
V319,0
V321,0
V50,0
V51,0
V60,0
V63,0
V65,0
V25,0
V71,0
V73,0
V77,0
V79,0
V16,0
V18,0
V21,0
V22,0
V23,0
V68,0
id_37_Unknown,0
id_38_T,0
id_38_Unknown,0
V205,0
V206,0
V207,0
V210,0
V212,0
V273,0
V215,0
V216,0
V228,0
V234,0
V236,0
V237,0
V238,0
V240,0
V214,0
R_email_suffix_other,0
V1,0
V3,0
V8,0
V9,0
V11,0
V14,0
V15,0
id_37_T,0
M8_T,0
M9_Unknown,0
id_16_Unknown,0
id_28_Unknown,0
id_29_NotFound,0
id_29_Unknown,0
id_35_Unknown,0
id_36_T,0
id_36_Unknown,0
card6_charge card,0
V269,0
V270,0
V272,0
V274,0
V275,0
V276,0
V278,0
V284,0
V241,0
V297,0
V299,0
V113,0
V114,0
V116,0
V117,0
V118,0
V119,0
V290,0
V242,0
V250,0
V252,0
V254,0
V255,0
V264,0
V266,0
V268,0
V204,0
V176,0
V181,0
V182,0
V183,0
V184,0
V185,0
V192,0
V196,0
V197,0
V173,0
