feature,importance
V258,0.081811726
V317,0.0461421
V299,0.03402657
C12,0.033147138
card6_debit,0.031631358
V187,0.019176502
card4_mastercard,0.017556041
card6_credit,0.017164651
V90,0.016209811
V69,0.015702913
C11,0.01529787
V306,0.0146182375
V279,0.013208197
V57,0.011822885
V282,0.011787365
TransactionAmt_is_round,0.0115715265
V29,0.011543085
V95,0.011487339
M4_M2,0.011189434
V280,0.010868039
V294,0.010826804
V97,0.010438177
V318,0.010107271
V179,0.009967667
V201,0.0098210545
C14,0.009782498
V287,0.009357247
V288,0.0093559455
V289,0.008701971
V126,0.0083667915
V34,0.008246065
V103,0.007927474
C4,0.007869202
V217,0.0076394994
V45,0.007466218
V313,0.0070244386
M5_T,0.0064417315
V321,0.0063903737
V283,0.005981646
V86,0.0059366464
V312,0.00591739
V70,0.0058420487
C2,0.0056752246
D3,0.0055823675
V73,0.0054202937
V257,0.005382536
V243,0.0053142207
V293,0.0052469736
M5_Unknown,0.0052089854
V232,0.0051861354
V314,0.0051177465
V102,0.0051059206
V212,0.0050837384
V253,0.005058984
V4,0.004850143
V189,0.0048427354
V290,0.004781384
C6,0.0047611785
C1,0.004719861
V199,0.0045984397
id_28_New,0.0045623905
M1_T,0.004540157
V244,0.0044557224
V128,0.0043867235
C7,0.004332209
card4_visa,0.004289778
V135,0.0041882703
V281,0.0041179215
V33,0.004057553
V35,0.0038189932
V91,0.0037027933
V308,0.0036804937
V200,0.0035722374
C13,0.003554338
V225,0.0034418514
V12,0.0033576132
V315,0.003315588
id_15_New,0.0032513312
id_12_NotFound,0.0032320265
id_06,0.0030915446
V75,0.0030678937
V223,0.0029858018
V48,0.0028422538
V134,0.0027162093
card5,0.0026311243
id_01,0.002611449
V222,0.0025914584
id_38_T,0.0025463274
V36,0.002469537
P_emaildomain,0.0024542015
V188,0.0024533563
V251,0.002427241
V236,0.002396048
V18,0.0023873108
is_night,0.0023586522
V98,0.002266176
V295,0.0021689264
M1_Unknown,0.0021633958
V26,0.002159185
V19,0.0021450254
DeviceType_mobile,0.0020834813
V124,0.002075471
DeviceType_desktop,0.002070999
id_16_Unknown,0.0020645882
V76,0.002013829
V256,0.0020079778
V316,0.0019853627
V297,0.0019386874
V291,0.0019360292
V136,0.0019136466
id_35_Unknown,0.0018551968
P_email_suffix_net,0.0018410769
V129,0.0018146501
email_match,0.0018118079
C8,0.0017849916
C10,0.0017330011
V203,0.0017237116
V219,0.0017204416
V13,0.0016888276
TransactionAmt,0.0016716893
V105,0.0016630859
V234,0.0016290374
P_email_suffix_missing,0.0016108076
V137,0.0015880431
V62,0.0015206214
V53,0.0014894248
V84,0.0014813514
V54,0.0014789333
V106,0.001477703
V87,0.0014688969
V274,0.0014680367
V58,0.0014623338
V38,0.0014516417
card4_discover,0.0013934141
V49,0.0013870291
V285,0.0013659603
V59,0.0013610232
V250,0.0013444416
D15,0.0013263986
card2,0.0013004335
V96,0.001291496
V198,0.0012876263
id_17,0.0012853438
V273,0.0012467927
DeviceInfo,0.0012418464
V255,0.0012289884
D11,0.001209813
V233,0.0011931747
D4,0.0011486352
id_15_Unknown,0.0011320646
V133,0.0011297711
V284,0.0011217431
V239,0.0010937117
V82,0.0010931188
ProductCD_H,0.0010817371
V71,0.0010755662
M9_T,0.0010519923
M2_Unknown,0.001004471
R_emaildomain,0.0010023601
V109,0.0009926455
Transaction_day,0.0009861359
ProductCD_R,0.0009745994
card3,0.0009648354
V172,0.00096353074
V296,0.0009488006
V24,0.000921995
V184,0.0009070352
id_31,0.00088829204
V100,0.00088748435
V261,0.0008788553
V85,0.0008783102
D5,0.00087760657
V302,0.00087309344
V248,0.00087076356
V173,0.0008689846
R_email_suffix_missing,0.0008587557
V83,0.00085625995
id_12_Unknown,0.0008559293
V174,0.00084290415
TransactionAmt_log,0.0008415792
V231,0.0008312908
TransactionDT,0.00083077495
id_05,0.0008300296
V20,0.0008296568
ProductCD_S,0.0008187746
V259,0.0008178779
V56,0.0007990141
D1,0.0007979866
V171,0.0007906273
V265,0.0007866372
C9,0.0007399123
V60,0.00072829524
V9,0.0007184179
V195,0.0007122135
card1,0.00070979143
V61,0.00070154545
V310,0.000694957
V67,0.00068943226
V266,0.0006857634
V286,0.00068206294
D2,0.0006801397
V178,0.0006739808
M8_Unknown,0.0006646505
V262,0.0006586466
V63,0.0006568501
V170,0.00065281324
V42,0.00065155287
M8_T,0.00064707623
V311,0.00064550136
V235,0.00062862504
V131,0.0006264704
V94,0.0006168107
addr1_addr2,0.0006041011
V47,0.0005987291
id_16_NotFound,0.0005981645
dist1,0.0005967394
V246,0.0005918791
V180,0.0005917371
V99,0.0005652455
V64,0.00056429545
V175,0.0005641899
V55,0.0005592959
C5,0.00055012456
M6_T,0.0005400097
C3,0.0005379414
V5,0.0005310222
V194,0.0005099654
V298,0.00050875166
V104,0.00050106255
V130,0.00048234707
M4_Unknown,0.00047867215
V17,0.00047695937
id_35_T,0.00047637336
M6_Unknown,0.0004749039
V238,0.00047285008
V66,0.00046605768
V197,0.00045667056
V320,0.00045580292
id_02,0.00044959347
V186,0.00044665823
V115,0.00043567707
Transaction_hour,0.0004349754
V224,0.0004348712
V169,0.00043478378
id_20,0.00042895626
addr1,0.00042390267
M7_Unknown,0.00040842406
card1_card2,0.00040501813
V227,0.00039002168
V206,0.00038617777
D10,0.00038597788
M4_M1,0.00038131082
V209,0.00037636785
V2,0.0003687503
V267,0.0003687492
id_11,0.00035133856
V177,0.00034072387
V304,0.00032946008
V221,0.00032716917
V220,0.00032321704
V51,0.00032308078
V25,0.000321925
card4_american express,0.00031691036
V78,0.00031196568
V22,0.00029775628
V215,0.0002880807
V6,0.00027886496
V7,0.00027807208
V30,0.00026877108
V247,0.00026751508
R_email_suffix_net,0.00026390963
id_29_NotFound,0.00026298373
V192,0.000262482
V292,0.0002541437
V228,0.00025333348
V307,0.0002488826
V260,0.00024684693
M7_T,0.00024410778
V176,0.00023512244
V300,0.00023363235
Transaction_day_of_week,0.0002301148
V80,0.00022951403
M3_T,0.0002289328
V132,0.00022889042
V183,0.0002255803
V249,0.00021673107
ProductCD_W,0.00021646926
V309,0.00021567303
V196,0.00020505408
V81,0.00020420247
V207,0.00020344766
V226,0.00019297193
id_19,0.00019121215
addr2,0.00019001799
V127,0.0001860754
V125,0.00017597782
V23,0.00017498237
V43,0.00016981646
V77,0.00016331142
V44,0.00016275089
V216,0.00015773256
M2_T,0.00015444156
id_13,0.00015024231
V114,0.00014380492
V208,0.00014272785
V301,0.00013964096
V191,0.00013358473
V268,0.00013297863
V277,0.0001327473
V270,0.00012414879
V229,0.00012175613
V213,0.000120680816
V205,0.00011689976
V271,0.00011664721
V230,0.00011419415
V37,0.00010654012
TransactionAmt_decimal,9.5200216e-05
V210,9.354232e-05
V8,9.0764144e-05
V211,8.701779e-05
V10,8.504771e-05
V264,8.2643004e-05
V245,8.072388e-05
V218,7.8861754e-05
V319,6.9335874e-05
id_37_T,6.639525e-05
P_email_suffix_other,4.786875e-05
V242,3.531337e-05
V46,2.9469082e-05
V202,2.5609255e-05
V272,2.4776145e-05
V269,1.9491326e-05
V263,1.9074483e-05
V303,1.7584198e-05
V278,1.172124e-05
V74,8.187556e-06
V50,3.8087471e-06
V181,2.3292262e-06
V168,4.59498e-07
V214,0.0
V120,0.0
V122,0.0
V119,0.0
V118,0.0
V117,0.0
V116,0.0
V113,0.0
V112,0.0
V111,0.0
V108,0.0
V121,0.0
V1,0.0
V39,0.0
V32,0.0
V31,0.0
V3,0.0
V21,0.0
V16,0.0
V110,0.0
V14,0.0
V11,0.0
is_weekend,0.0
id_29_Unknown,0.0
card6_debit or credit,0.0
card6_charge card,0.0
V167,0.0
V123,0.0
V15,0.0
V193,0.0
V254,0.0
V252,0.0
V241,0.0
V240,0.0
V190,0.0
V185,0.0
V182,0.0
V72,0.0
M3_Unknown,0.0
V305,0.0
id_38_Unknown,0.0
id_37_Unknown,0.0
R_email_suffix_other,0.0
id_28_Unknown,0.0
V28,0.0
V27,0.0
V275,0.0
V107,0.0
id_36_Unknown,0.0
id_36_T,0.0
V68,0.0
V79,0.0
M9_Unknown,0.0
V65,0.0
V52,0.0
V204,0.0
V237,0.0
V101,0.0
V93,0.0
V92,0.0
V89,0.0
V88,0.0
V40,0.0
V276,0.0
V41,0.0
